name,tel,addr,addr2,Latitude,Longitude,menu,price,thumb,rating,count,가성비좋은,분위기좋은,감성카페,고급스러운,조용한,깔끔한,디저트,인테리어,사진찍기좋은,이색적인,뷰가좋은,예쁜,동네핫플
7080라이브카페 뉴욕,0507-1473-8782,갈월동 16-7,갈월동,37.5455275,126.9719697,['제철과일&마른안주'],[50000],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220910_58%2F1662792907824SODPv_JPEG%2F1662792087870.jpg,2.01,1,1,1,0,0,0,1,0,0,1,1,0,0,1
Jesus Coffee,070-4400-0690,갈월동 53-1,갈월동,37.5455301,126.974646,"['메이플시나몬와플', '애플시나몬와플', '스노우와플']","[2300, 2500, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190826_277%2F1566788683492Jeaet_JPEG%2FUAX7h1H3Lg2fsyUL8-4vd8Vk.jpg,4.47,1,0,1,0,0,0,1,1,0,0,0,0,1,1
STUN HOUS,0507-1304-1597,갈월동 19-4,갈월동,37.5454352,126.9726477,['Popresso'],[4500],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220702_117%2F1656724874833e6gPn_JPEG%2FAEEE736F-05E7-4A09-AFBC-30FCAB9F0761.jpeg,2.65,1,1,1,0,0,1,1,0,0,0,0,1,1,0
과일병원,070-4154-4710,갈월동 58-3,갈월동,37.5456341,126.9734439,"['굿뜨레 메론(한통)', '과일 도시락', '컵과일']","[25000, 10900, 6500]",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F1238427533%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1663171919467%26md%3D7jDWrv7jZkTjzFUxBBi7LD1c7Z8%253D,2.71,1,0,0,0,0,1,1,0,0,0,0,1,1,1
꼬마카롱,0507-1312-4137,갈월동 51-2,갈월동,37.5462755,126.9747784,"['마카롱', '오늘의마카롱 6구', '아이스아메리카노']","[2000, 10000, 3000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211014_158%2F1634177123299kMQew_JPEG%2Fug6uk7NNIZPpctbjtLseRCZh.jpeg.jpg,4.42,1,1,1,0,1,1,0,1,1,0,0,1,1,0
더드립니다,010-9869-5020,갈월동 101-23,갈월동,37.5417504,126.9725919,"['굿맨 드립커피', '케냐AA', '에티오피아 예가체프']","[2700, 3700, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_163%2F1631670517298GkqTc_JPEG%2FRpvb1fUFX-HNa18TQOWIVyaU.jpg,2.22,1,1,0,1,1,1,1,1,1,0,1,0,0,1
라이언스커피로스터스,070-8847-0874,갈월동 8-30,갈월동,37.5475049,126.9722266,"['오늘의커피', '아메리카노', '콜드브루']","[3500, 4000, 4000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_61%2F1589874547837e5Vo8_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png,4.81,1,1,1,1,0,0,1,0,1,0,0,0,0,0
래핀,02-3789-0332,갈월동 8-71,갈월동,37.547899,126.9720627,"['샌드위치', '스콘세트', '아메리카노']","[4800, 4000, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160519_23%2F1463634118112wfAqz_JPEG%2F176463563236647_0.jpeg,4.39,1,1,0,1,1,0,1,1,0,1,1,0,0,1
로칼커피,0507-1425-0280,갈월동 66,갈월동,37.5453719,126.9723034,"['아메리카노\n별점\n4.97주문수 582', '카페라떼\n별점\n4.96주문수 161', '바닐라라떼\n별점\n4.96주문수 30']","[2800, 3500, 4000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200205_40%2F1580881153683XVDkJ_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png,4.9,1,0,0,0,0,0,0,1,0,0,1,0,0,1
마임하임,0507-1358-2568,갈월동 57-3,갈월동,37.5457209,126.9736883,"['아메리카노', '라떼', '수입음료']","[3000, 3500, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210217_50%2F1613501358126DNqfB_JPEG%2FJ0jg7bYQ8jbd1kA49djLEPEv.jpg,2.07,1,0,1,1,0,0,0,0,0,0,0,0,1,0
