user_id,store_id,rating,가성비좋은,분위기좋은,감성카페,고급스러운,조용한,깔끔한,디저트,인테리어,사진찍기좋은,이색적인,뷰가좋은,예쁜,동네핫플
1,583,5,0,0,0,0,1,1,1,1,0,0,0,0,0
1,616,5,0,1,1,0,1,1,1,1,1,,0,0,1
1,347,3,0,0,0,0,1,1,0,0,0,0,0,0,0
1,330,5,0,1,0,0,0,0,0,0,0,1,0,0,1
1,714,5,0,1,1,1,1,1,1,1,0,0,0,0,0
1,624,5,0,1,1,1,0,1,1,1,1,0,0,1,1
1,557,4,0,0,0,0,1,0,1,0,0,0,0,0,0
1,252,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1,178,5,1,0,1,0,0,0,1,0,1,0,0,0,0
1,726,5,0,1,1,1,0,1,1,1,1,1,0,1,1
2,783,5,0,0,0,1,0,0,1,1,1,0,0,0,1
2,616,4,0,0,1,0,0,1,1,1,1,0,0,1,1
2,741,5,0,0,1,0,0,0,1,1,1,0,0,0,1
2,760,4,1,0,0,0,0,0,1,0,1,0,0,0,1
2,726,5,0,1,1,1,1,1,1,1,1,1,0,1,1
2,34,5,0,1,1,0,1,1,1,1,1,0,0,1,1
2,347,5,0,0,1,0,1,0,1,0,1,1,0,0,1
2,219,5,0,0,1,0,0,0,1,1,1,1,1,1,1
2,814,4,0,0,1,0,1,0,1,0,1,0,1,1,1
2,664,5,0,0,0,0,0,1,0,0,1,0,0,1,1
3,5,4,1,0,0,0,0,0,1,0,0,0,0,0,1
3,9,5,1,0,0,0,0,1,0,0,0,1,0,0,0
3,14,5,0,0,0,1,0,1,0,1,0,0,0,0,1
3,16,5,0,0,1,0,0,0,0,1,1,0,0,1,0
3,20,3,0,0,0,1,0,1,0,1,0,0,0,0,0
3,30,4,0,0,0,0,0,1,1,0,0,0,0,0,1
3,40,4,0,1,0,0,0,0,1,1,1,0,0,0,0
3,60,3,0,0,1,0,1,0,0,0,0,0,1,0,0
3,77,5,0,0,0,1,0,1,0,1,0,0,0,0,1
3,84,3,0,0,0,0,0,1,1,1,0,0,0,0,0
4,90,5,0,1,0,0,0,0,1,1,1,1,0,0,0
4,96,2,0,0,0,1,0,1,0,1,0,0,0,0,0
4,108,3,0,0,1,0,0,0,0,1,1,1,0,0,0
4,172,3,0,0,1,0,0,0,0,1,1,0,0,0,1
4,180,5,0,1,0,0,0,0,1,1,0,0,0,1,0
4,182,4,1,0,0,0,1,1,0,0,0,0,0,0,0
4,221,4,0,0,1,1,1,0,0,1,0,0,0,0,0
4,234,5,0,0,1,0,0,0,0,1,1,1,0,0,1
4,366,4,0,0,0,0,0,0,1,0,0,0,1,1,0
4,443,3,0,0,1,0,0,0,0,1,1,0,0,0,1
